================================================================================
Experiment_logs_20241204_114505
Date: 2024-12-04 11:45:09
================================================================================

----------------------------------------
qnn_hp_s100_lr0.2_md6_cd5
----------------------------------------

Hyperparameters:
  Memory Depth: 6
  Training Steps: 100
  Learning Rate: 0.2
  Cutoff Dimension: 5

--------------------
Training Log
--------------------

Initial Parameters:
  Phase1: 4.0403
  Phase3: 0.2184
  Memristor Weight: 0.2823

Training Progress:
  Step    0: Loss = 40.7420, Phase1 = 4.2403, Phase3 = 0.0184, Weight = 0.0823
  Step   67: Loss = 0.1831, Phase1 = 5.8725, Phase3 = 0.0000, Weight = 1.0000
  Step   68: Loss = 0.1852, Phase1 = 5.8751, Phase3 = 0.0000, Weight = 1.0000
  Step   69: Loss = 0.1869, Phase1 = 5.8760, Phase3 = 0.0000, Weight = 1.0000
  Step   70: Loss = 0.1875, Phase1 = 5.8752, Phase3 = 0.0000, Weight = 1.0000
  Step   71: Loss = 0.1869, Phase1 = 5.8729, Phase3 = 0.0000, Weight = 1.0000
  Step   72: Loss = 0.1855, Phase1 = 5.8695, Phase3 = 0.0000, Weight = 1.0000
  Step   73: Loss = 0.1837, Phase1 = 5.8653, Phase3 = 0.0000, Weight = 1.0000
  Step   74: Loss = 0.1820, Phase1 = 5.8608, Phase3 = 0.0000, Weight = 1.0000
  Step   75: Loss = 0.1809, Phase1 = 5.8563, Phase3 = 0.0000, Weight = 1.0000
  Step   76: Loss = 0.1806, Phase1 = 5.8523, Phase3 = 0.0000, Weight = 1.0000
  Step   77: Loss = 0.1810, Phase1 = 5.8490, Phase3 = 0.0000, Weight = 1.0000
  Step   78: Loss = 0.1816, Phase1 = 5.8467, Phase3 = 0.0000, Weight = 1.0000
  Step   79: Loss = 0.1824, Phase1 = 5.8455, Phase3 = 0.0000, Weight = 1.0000
  Step   80: Loss = 0.1829, Phase1 = 5.8453, Phase3 = 0.0000, Weight = 1.0000
  Step   81: Loss = 0.1829, Phase1 = 5.8462, Phase3 = 0.0000, Weight = 1.0000
  Step   82: Loss = 0.1826, Phase1 = 5.8479, Phase3 = 0.0000, Weight = 1.0000
  Step   83: Loss = 0.1820, Phase1 = 5.8502, Phase3 = 0.0000, Weight = 1.0000
  Step   84: Loss = 0.1814, Phase1 = 5.8528, Phase3 = 0.0000, Weight = 1.0000
  Step   85: Loss = 0.1809, Phase1 = 5.8556, Phase3 = 0.0000, Weight = 1.0000
  Step   86: Loss = 0.1806, Phase1 = 5.8582, Phase3 = 0.0000, Weight = 1.0000
  Step   87: Loss = 0.1807, Phase1 = 5.8604, Phase3 = 0.0000, Weight = 1.0000
  Step   88: Loss = 0.1809, Phase1 = 5.8620, Phase3 = 0.0000, Weight = 1.0000
  Step   89: Loss = 0.1811, Phase1 = 5.8630, Phase3 = 0.0000, Weight = 1.0000
  Step   90: Loss = 0.1814, Phase1 = 5.8632, Phase3 = 0.0000, Weight = 1.0000
  Step   91: Loss = 0.1814, Phase1 = 5.8629, Phase3 = 0.0000, Weight = 1.0000
  Step   92: Loss = 0.1813, Phase1 = 5.8619, Phase3 = 0.0000, Weight = 1.0000
  Step   93: Loss = 0.1811, Phase1 = 5.8606, Phase3 = 0.0000, Weight = 1.0000
  Step   94: Loss = 0.1809, Phase1 = 5.8590, Phase3 = 0.0000, Weight = 1.0000
  Step   95: Loss = 0.1807, Phase1 = 5.8573, Phase3 = 0.0000, Weight = 1.0000
  Step   96: Loss = 0.1806, Phase1 = 5.8557, Phase3 = 0.0000, Weight = 1.0000
  Step   97: Loss = 0.1806, Phase1 = 5.8543, Phase3 = 0.0000, Weight = 1.0000
  Step   98: Loss = 0.1807, Phase1 = 5.8533, Phase3 = 0.0000, Weight = 1.0000
  Step   99: Loss = 0.1808, Phase1 = 5.8527, Phase3 = 0.0000, Weight = 1.0000

Final Parameters:
  Phase1: 5.8527
  Phase3: 0.0000
  Memristor Weight: 1.0000

Training Summary:
  Initial Loss: 40.7420
  Final Loss: 0.1808
