================================================================================
Hyperparameter Optimization Log
Date: 2024-12-03 14:40:18
================================================================================

Hyperparameter Ranges:
Steps Range: [500]
Learning Rate Range: [0.01]
Memory Depth Range: [6]
Cutoff Dimension Range: [5]

----------------------------------------
qnn_hp_s500_lr0.01_md6_cd5
----------------------------------------

Hyperparameters:
  Memory Depth: 6
  Training Steps: 500
  Learning Rate: 0.01
  Cutoff Dimension: 5

--------------------
Training Log
--------------------

Initial Parameters:
  Phase1: 4.0403
  Phase3: 0.2184
  Memristor Weight: 0.2823

Training Progress:
  Step    0: Loss = 40.7420, Phase1 = 4.0503, Phase3 = 0.2084, Weight = 0.2723
  Step  267: Loss = 0.4349, Phase1 = 5.8478, Phase3 = 0.0000, Weight = 0.6540
  Step  268: Loss = 0.4294, Phase1 = 5.8489, Phase3 = 0.0000, Weight = 0.6576
  Step  269: Loss = 0.4240, Phase1 = 5.8500, Phase3 = 0.0000, Weight = 0.6613
  Step  270: Loss = 0.4188, Phase1 = 5.8511, Phase3 = 0.0000, Weight = 0.6649
  Step  271: Loss = 0.4137, Phase1 = 5.8521, Phase3 = 0.0000, Weight = 0.6685
  Step  272: Loss = 0.4088, Phase1 = 5.8532, Phase3 = 0.0000, Weight = 0.6720
  Step  273: Loss = 0.4041, Phase1 = 5.8542, Phase3 = 0.0000, Weight = 0.6756
  Step  274: Loss = 0.3994, Phase1 = 5.8551, Phase3 = 0.0000, Weight = 0.6791
  Step  275: Loss = 0.3949, Phase1 = 5.8561, Phase3 = 0.0000, Weight = 0.6825
  Step  276: Loss = 0.3905, Phase1 = 5.8570, Phase3 = 0.0000, Weight = 0.6860
  Step  277: Loss = 0.3863, Phase1 = 5.8579, Phase3 = 0.0000, Weight = 0.6894
  Step  278: Loss = 0.3821, Phase1 = 5.8588, Phase3 = 0.0000, Weight = 0.6928
  Step  279: Loss = 0.3781, Phase1 = 5.8596, Phase3 = 0.0000, Weight = 0.6962
  Step  280: Loss = 0.3742, Phase1 = 5.8604, Phase3 = 0.0000, Weight = 0.6995
  Step  281: Loss = 0.3704, Phase1 = 5.8612, Phase3 = 0.0000, Weight = 0.7028
  Step  282: Loss = 0.3667, Phase1 = 5.8620, Phase3 = 0.0000, Weight = 0.7061
  Step  283: Loss = 0.3631, Phase1 = 5.8628, Phase3 = 0.0000, Weight = 0.7094
  Step  284: Loss = 0.3596, Phase1 = 5.8635, Phase3 = 0.0000, Weight = 0.7126
  Step  285: Loss = 0.3562, Phase1 = 5.8642, Phase3 = 0.0000, Weight = 0.7159
  Step  286: Loss = 0.3529, Phase1 = 5.8649, Phase3 = 0.0000, Weight = 0.7191
  Step  287: Loss = 0.3496, Phase1 = 5.8656, Phase3 = 0.0000, Weight = 0.7222
  Step  288: Loss = 0.3465, Phase1 = 5.8662, Phase3 = 0.0000, Weight = 0.7254
  Step  289: Loss = 0.3434, Phase1 = 5.8669, Phase3 = 0.0000, Weight = 0.7285
  Step  290: Loss = 0.3404, Phase1 = 5.8675, Phase3 = 0.0000, Weight = 0.7316
  Step  291: Loss = 0.3375, Phase1 = 5.8680, Phase3 = 0.0000, Weight = 0.7347
  Step  292: Loss = 0.3346, Phase1 = 5.8686, Phase3 = 0.0000, Weight = 0.7377
  Step  293: Loss = 0.3319, Phase1 = 5.8692, Phase3 = 0.0000, Weight = 0.7408
  Step  294: Loss = 0.3292, Phase1 = 5.8697, Phase3 = 0.0000, Weight = 0.7438
  Step  295: Loss = 0.3265, Phase1 = 5.8702, Phase3 = 0.0000, Weight = 0.7467
  Step  296: Loss = 0.3240, Phase1 = 5.8707, Phase3 = 0.0000, Weight = 0.7497
  Step  297: Loss = 0.3215, Phase1 = 5.8712, Phase3 = 0.0000, Weight = 0.7526
  Step  298: Loss = 0.3190, Phase1 = 5.8716, Phase3 = 0.0000, Weight = 0.7556
  Step  299: Loss = 0.3166, Phase1 = 5.8721, Phase3 = 0.0000, Weight = 0.7584
  Step  300: Loss = 0.3143, Phase1 = 5.8725, Phase3 = 0.0000, Weight = 0.7613
  Step  301: Loss = 0.3120, Phase1 = 5.8729, Phase3 = 0.0000, Weight = 0.7642
  Step  302: Loss = 0.3098, Phase1 = 5.8733, Phase3 = 0.0000, Weight = 0.7670
  Step  303: Loss = 0.3076, Phase1 = 5.8737, Phase3 = 0.0000, Weight = 0.7698
  Step  304: Loss = 0.3054, Phase1 = 5.8740, Phase3 = 0.0000, Weight = 0.7726
  Step  305: Loss = 0.3033, Phase1 = 5.8744, Phase3 = 0.0000, Weight = 0.7754
  Step  306: Loss = 0.3013, Phase1 = 5.8747, Phase3 = 0.0000, Weight = 0.7781
  Step  307: Loss = 0.2993, Phase1 = 5.8750, Phase3 = 0.0000, Weight = 0.7809
  Step  308: Loss = 0.2973, Phase1 = 5.8753, Phase3 = 0.0000, Weight = 0.7836
  Step  309: Loss = 0.2954, Phase1 = 5.8756, Phase3 = 0.0000, Weight = 0.7863
  Step  310: Loss = 0.2935, Phase1 = 5.8759, Phase3 = 0.0000, Weight = 0.7889
  Step  311: Loss = 0.2917, Phase1 = 5.8761, Phase3 = 0.0000, Weight = 0.7916
  Step  312: Loss = 0.2899, Phase1 = 5.8764, Phase3 = 0.0000, Weight = 0.7942
  Step  313: Loss = 0.2881, Phase1 = 5.8766, Phase3 = 0.0000, Weight = 0.7968
  Step  314: Loss = 0.2863, Phase1 = 5.8768, Phase3 = 0.0000, Weight = 0.7994
  Step  315: Loss = 0.2846, Phase1 = 5.8770, Phase3 = 0.0000, Weight = 0.8020
  Step  316: Loss = 0.2829, Phase1 = 5.8772, Phase3 = 0.0000, Weight = 0.8046
  Step  317: Loss = 0.2813, Phase1 = 5.8774, Phase3 = 0.0000, Weight = 0.8071
  Step  318: Loss = 0.2796, Phase1 = 5.8775, Phase3 = 0.0000, Weight = 0.8096
  Step  319: Loss = 0.2781, Phase1 = 5.8777, Phase3 = 0.0000, Weight = 0.8122
  Step  320: Loss = 0.2765, Phase1 = 5.8778, Phase3 = 0.0000, Weight = 0.8147
  Step  321: Loss = 0.2749, Phase1 = 5.8780, Phase3 = 0.0000, Weight = 0.8171
  Step  322: Loss = 0.2734, Phase1 = 5.8781, Phase3 = 0.0000, Weight = 0.8196
  Step  323: Loss = 0.2719, Phase1 = 5.8782, Phase3 = 0.0000, Weight = 0.8220
  Step  324: Loss = 0.2704, Phase1 = 5.8783, Phase3 = 0.0000, Weight = 0.8245
  Step  325: Loss = 0.2690, Phase1 = 5.8784, Phase3 = 0.0000, Weight = 0.8269
  Step  326: Loss = 0.2675, Phase1 = 5.8784, Phase3 = 0.0000, Weight = 0.8293
  Step  327: Loss = 0.2661, Phase1 = 5.8785, Phase3 = 0.0000, Weight = 0.8317
  Step  328: Loss = 0.2647, Phase1 = 5.8786, Phase3 = 0.0000, Weight = 0.8341
  Step  329: Loss = 0.2633, Phase1 = 5.8786, Phase3 = 0.0000, Weight = 0.8364
  Step  330: Loss = 0.2620, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8388
  Step  331: Loss = 0.2606, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8411
  Step  332: Loss = 0.2593, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8434
  Step  333: Loss = 0.2580, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8457
  Step  334: Loss = 0.2567, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8480
  Step  335: Loss = 0.2554, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8503
  Step  336: Loss = 0.2541, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8525
  Step  337: Loss = 0.2529, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8548
  Step  338: Loss = 0.2516, Phase1 = 5.8787, Phase3 = 0.0000, Weight = 0.8570
  Step  339: Loss = 0.2504, Phase1 = 5.8786, Phase3 = 0.0000, Weight = 0.8592
  Step  340: Loss = 0.2492, Phase1 = 5.8786, Phase3 = 0.0000, Weight = 0.8615
  Step  341: Loss = 0.2480, Phase1 = 5.8785, Phase3 = 0.0000, Weight = 0.8637
  Step  342: Loss = 0.2468, Phase1 = 5.8785, Phase3 = 0.0000, Weight = 0.8658
  Step  343: Loss = 0.2457, Phase1 = 5.8784, Phase3 = 0.0000, Weight = 0.8680
  Step  344: Loss = 0.2445, Phase1 = 5.8783, Phase3 = 0.0000, Weight = 0.8702
  Step  345: Loss = 0.2434, Phase1 = 5.8783, Phase3 = 0.0000, Weight = 0.8723
  Step  346: Loss = 0.2422, Phase1 = 5.8782, Phase3 = 0.0000, Weight = 0.8745
  Step  347: Loss = 0.2411, Phase1 = 5.8781, Phase3 = 0.0000, Weight = 0.8766
  Step  348: Loss = 0.2400, Phase1 = 5.8780, Phase3 = 0.0000, Weight = 0.8787
  Step  349: Loss = 0.2389, Phase1 = 5.8779, Phase3 = 0.0000, Weight = 0.8809
  Step  350: Loss = 0.2378, Phase1 = 5.8778, Phase3 = 0.0000, Weight = 0.8830
  Step  351: Loss = 0.2367, Phase1 = 5.8777, Phase3 = 0.0000, Weight = 0.8851
  Step  352: Loss = 0.2356, Phase1 = 5.8776, Phase3 = 0.0000, Weight = 0.8871
  Step  353: Loss = 0.2346, Phase1 = 5.8774, Phase3 = 0.0000, Weight = 0.8892
  Step  354: Loss = 0.2335, Phase1 = 5.8773, Phase3 = 0.0000, Weight = 0.8913
  Step  355: Loss = 0.2325, Phase1 = 5.8772, Phase3 = 0.0000, Weight = 0.8933
  Step  356: Loss = 0.2314, Phase1 = 5.8771, Phase3 = 0.0000, Weight = 0.8954
  Step  357: Loss = 0.2304, Phase1 = 5.8769, Phase3 = 0.0000, Weight = 0.8974
  Step  358: Loss = 0.2294, Phase1 = 5.8768, Phase3 = 0.0000, Weight = 0.8994
  Step  359: Loss = 0.2283, Phase1 = 5.8766, Phase3 = 0.0000, Weight = 0.9014
  Step  360: Loss = 0.2273, Phase1 = 5.8765, Phase3 = 0.0000, Weight = 0.9034
  Step  361: Loss = 0.2263, Phase1 = 5.8763, Phase3 = 0.0000, Weight = 0.9054
  Step  362: Loss = 0.2253, Phase1 = 5.8762, Phase3 = 0.0000, Weight = 0.9074
  Step  363: Loss = 0.2244, Phase1 = 5.8760, Phase3 = 0.0000, Weight = 0.9094
  Step  364: Loss = 0.2234, Phase1 = 5.8758, Phase3 = 0.0000, Weight = 0.9114
  Step  365: Loss = 0.2224, Phase1 = 5.8757, Phase3 = 0.0000, Weight = 0.9134
  Step  366: Loss = 0.2215, Phase1 = 5.8755, Phase3 = 0.0000, Weight = 0.9153
  Step  367: Loss = 0.2205, Phase1 = 5.8753, Phase3 = 0.0000, Weight = 0.9173
  Step  368: Loss = 0.2195, Phase1 = 5.8751, Phase3 = 0.0000, Weight = 0.9192
  Step  369: Loss = 0.2186, Phase1 = 5.8750, Phase3 = 0.0000, Weight = 0.9211
  Step  370: Loss = 0.2177, Phase1 = 5.8748, Phase3 = 0.0000, Weight = 0.9231
  Step  371: Loss = 0.2167, Phase1 = 5.8746, Phase3 = 0.0000, Weight = 0.9250
  Step  372: Loss = 0.2158, Phase1 = 5.8744, Phase3 = 0.0000, Weight = 0.9269
  Step  373: Loss = 0.2149, Phase1 = 5.8742, Phase3 = 0.0000, Weight = 0.9288
  Step  374: Loss = 0.2140, Phase1 = 5.8740, Phase3 = 0.0000, Weight = 0.9307
  Step  375: Loss = 0.2131, Phase1 = 5.8738, Phase3 = 0.0000, Weight = 0.9326
  Step  376: Loss = 0.2122, Phase1 = 5.8736, Phase3 = 0.0000, Weight = 0.9345
  Step  377: Loss = 0.2113, Phase1 = 5.8734, Phase3 = 0.0000, Weight = 0.9363
  Step  378: Loss = 0.2104, Phase1 = 5.8732, Phase3 = 0.0000, Weight = 0.9382
  Step  379: Loss = 0.2095, Phase1 = 5.8730, Phase3 = 0.0000, Weight = 0.9401
  Step  380: Loss = 0.2087, Phase1 = 5.8728, Phase3 = 0.0000, Weight = 0.9419
  Step  381: Loss = 0.2078, Phase1 = 5.8726, Phase3 = 0.0000, Weight = 0.9438
  Step  382: Loss = 0.2069, Phase1 = 5.8724, Phase3 = 0.0000, Weight = 0.9456
  Step  383: Loss = 0.2061, Phase1 = 5.8722, Phase3 = 0.0000, Weight = 0.9475
  Step  384: Loss = 0.2052, Phase1 = 5.8720, Phase3 = 0.0000, Weight = 0.9493
  Step  385: Loss = 0.2044, Phase1 = 5.8718, Phase3 = 0.0000, Weight = 0.9511
  Step  386: Loss = 0.2035, Phase1 = 5.8715, Phase3 = 0.0000, Weight = 0.9529
  Step  387: Loss = 0.2027, Phase1 = 5.8713, Phase3 = 0.0000, Weight = 0.9547
  Step  388: Loss = 0.2019, Phase1 = 5.8711, Phase3 = 0.0000, Weight = 0.9566
  Step  389: Loss = 0.2010, Phase1 = 5.8709, Phase3 = 0.0000, Weight = 0.9584
  Step  390: Loss = 0.2002, Phase1 = 5.8707, Phase3 = 0.0000, Weight = 0.9601
  Step  391: Loss = 0.1994, Phase1 = 5.8704, Phase3 = 0.0000, Weight = 0.9619
  Step  392: Loss = 0.1986, Phase1 = 5.8702, Phase3 = 0.0000, Weight = 0.9637
  Step  393: Loss = 0.1978, Phase1 = 5.8700, Phase3 = 0.0000, Weight = 0.9655
  Step  394: Loss = 0.1970, Phase1 = 5.8698, Phase3 = 0.0000, Weight = 0.9673
  Step  395: Loss = 0.1962, Phase1 = 5.8696, Phase3 = 0.0000, Weight = 0.9690
  Step  396: Loss = 0.1954, Phase1 = 5.8693, Phase3 = 0.0000, Weight = 0.9708
  Step  397: Loss = 0.1946, Phase1 = 5.8691, Phase3 = 0.0000, Weight = 0.9726
  Step  398: Loss = 0.1939, Phase1 = 5.8689, Phase3 = 0.0000, Weight = 0.9743
  Step  399: Loss = 0.1931, Phase1 = 5.8686, Phase3 = 0.0000, Weight = 0.9761
  Step  400: Loss = 0.1923, Phase1 = 5.8684, Phase3 = 0.0000, Weight = 0.9778
  Step  401: Loss = 0.1916, Phase1 = 5.8682, Phase3 = 0.0000, Weight = 0.9795
  Step  402: Loss = 0.1908, Phase1 = 5.8680, Phase3 = 0.0000, Weight = 0.9813
  Step  403: Loss = 0.1901, Phase1 = 5.8677, Phase3 = 0.0000, Weight = 0.9830
  Step  404: Loss = 0.1893, Phase1 = 5.8675, Phase3 = 0.0000, Weight = 0.9847
  Step  405: Loss = 0.1886, Phase1 = 5.8673, Phase3 = 0.0000, Weight = 0.9864
  Step  406: Loss = 0.1878, Phase1 = 5.8670, Phase3 = 0.0000, Weight = 0.9881
  Step  407: Loss = 0.1871, Phase1 = 5.8668, Phase3 = 0.0000, Weight = 0.9898
  Step  408: Loss = 0.1863, Phase1 = 5.8666, Phase3 = 0.0000, Weight = 0.9915
  Step  409: Loss = 0.1856, Phase1 = 5.8664, Phase3 = 0.0000, Weight = 0.9932
  Step  410: Loss = 0.1849, Phase1 = 5.8661, Phase3 = 0.0000, Weight = 0.9949
  Step  411: Loss = 0.1842, Phase1 = 5.8659, Phase3 = 0.0000, Weight = 0.9966
  Step  412: Loss = 0.1835, Phase1 = 5.8657, Phase3 = 0.0000, Weight = 0.9983
  Step  413: Loss = 0.1828, Phase1 = 5.8654, Phase3 = 0.0000, Weight = 1.0000
  Step  414: Loss = 0.1821, Phase1 = 5.8652, Phase3 = 0.0000, Weight = 1.0000
  Step  415: Loss = 0.1820, Phase1 = 5.8650, Phase3 = 0.0000, Weight = 1.0000
  Step  416: Loss = 0.1819, Phase1 = 5.8647, Phase3 = 0.0000, Weight = 1.0000
  Step  417: Loss = 0.1818, Phase1 = 5.8645, Phase3 = 0.0000, Weight = 1.0000
  Step  418: Loss = 0.1818, Phase1 = 5.8643, Phase3 = 0.0000, Weight = 1.0000
  Step  419: Loss = 0.1817, Phase1 = 5.8640, Phase3 = 0.0000, Weight = 1.0000
  Step  420: Loss = 0.1816, Phase1 = 5.8638, Phase3 = 0.0000, Weight = 1.0000
  Step  421: Loss = 0.1816, Phase1 = 5.8636, Phase3 = 0.0000, Weight = 1.0000
  Step  422: Loss = 0.1815, Phase1 = 5.8634, Phase3 = 0.0000, Weight = 1.0000
  Step  423: Loss = 0.1815, Phase1 = 5.8632, Phase3 = 0.0000, Weight = 1.0000
  Step  424: Loss = 0.1814, Phase1 = 5.8630, Phase3 = 0.0000, Weight = 1.0000
  Step  425: Loss = 0.1814, Phase1 = 5.8628, Phase3 = 0.0000, Weight = 1.0000
  Step  426: Loss = 0.1813, Phase1 = 5.8626, Phase3 = 0.0000, Weight = 1.0000
  Step  427: Loss = 0.1813, Phase1 = 5.8624, Phase3 = 0.0000, Weight = 1.0000
  Step  428: Loss = 0.1812, Phase1 = 5.8622, Phase3 = 0.0000, Weight = 1.0000
  Step  429: Loss = 0.1812, Phase1 = 5.8620, Phase3 = 0.0000, Weight = 1.0000
  Step  430: Loss = 0.1812, Phase1 = 5.8618, Phase3 = 0.0000, Weight = 1.0000
  Step  431: Loss = 0.1811, Phase1 = 5.8616, Phase3 = 0.0000, Weight = 1.0000
  Step  432: Loss = 0.1811, Phase1 = 5.8614, Phase3 = 0.0000, Weight = 1.0000
  Step  433: Loss = 0.1811, Phase1 = 5.8613, Phase3 = 0.0000, Weight = 1.0000
  Step  434: Loss = 0.1810, Phase1 = 5.8611, Phase3 = 0.0000, Weight = 1.0000
  Step  435: Loss = 0.1810, Phase1 = 5.8609, Phase3 = 0.0000, Weight = 1.0000
  Step  436: Loss = 0.1810, Phase1 = 5.8608, Phase3 = 0.0000, Weight = 1.0000
  Step  437: Loss = 0.1809, Phase1 = 5.8606, Phase3 = 0.0000, Weight = 1.0000
  Step  438: Loss = 0.1809, Phase1 = 5.8605, Phase3 = 0.0000, Weight = 1.0000
  Step  439: Loss = 0.1809, Phase1 = 5.8603, Phase3 = 0.0000, Weight = 1.0000
  Step  440: Loss = 0.1809, Phase1 = 5.8602, Phase3 = 0.0000, Weight = 1.0000
  Step  441: Loss = 0.1809, Phase1 = 5.8601, Phase3 = 0.0000, Weight = 1.0000
  Step  442: Loss = 0.1808, Phase1 = 5.8599, Phase3 = 0.0000, Weight = 1.0000
  Step  443: Loss = 0.1808, Phase1 = 5.8598, Phase3 = 0.0000, Weight = 1.0000
  Step  444: Loss = 0.1808, Phase1 = 5.8597, Phase3 = 0.0000, Weight = 1.0000
  Step  445: Loss = 0.1808, Phase1 = 5.8596, Phase3 = 0.0000, Weight = 1.0000
  Step  446: Loss = 0.1808, Phase1 = 5.8594, Phase3 = 0.0000, Weight = 1.0000
  Step  447: Loss = 0.1808, Phase1 = 5.8593, Phase3 = 0.0000, Weight = 1.0000
  Step  448: Loss = 0.1808, Phase1 = 5.8592, Phase3 = 0.0000, Weight = 1.0000
  Step  449: Loss = 0.1807, Phase1 = 5.8591, Phase3 = 0.0000, Weight = 1.0000
  Step  450: Loss = 0.1807, Phase1 = 5.8590, Phase3 = 0.0000, Weight = 1.0000
  Step  451: Loss = 0.1807, Phase1 = 5.8589, Phase3 = 0.0000, Weight = 1.0000
  Step  452: Loss = 0.1807, Phase1 = 5.8588, Phase3 = 0.0000, Weight = 1.0000
  Step  453: Loss = 0.1807, Phase1 = 5.8587, Phase3 = 0.0000, Weight = 1.0000
  Step  454: Loss = 0.1807, Phase1 = 5.8586, Phase3 = 0.0000, Weight = 1.0000
  Step  455: Loss = 0.1807, Phase1 = 5.8585, Phase3 = 0.0000, Weight = 1.0000
  Step  456: Loss = 0.1807, Phase1 = 5.8585, Phase3 = 0.0000, Weight = 1.0000
  Step  457: Loss = 0.1807, Phase1 = 5.8584, Phase3 = 0.0000, Weight = 1.0000
  Step  458: Loss = 0.1807, Phase1 = 5.8583, Phase3 = 0.0000, Weight = 1.0000
  Step  459: Loss = 0.1807, Phase1 = 5.8582, Phase3 = 0.0000, Weight = 1.0000
  Step  460: Loss = 0.1807, Phase1 = 5.8582, Phase3 = 0.0000, Weight = 1.0000
  Step  461: Loss = 0.1807, Phase1 = 5.8581, Phase3 = 0.0000, Weight = 1.0000
  Step  462: Loss = 0.1807, Phase1 = 5.8580, Phase3 = 0.0000, Weight = 1.0000
  Step  463: Loss = 0.1807, Phase1 = 5.8580, Phase3 = 0.0000, Weight = 1.0000
  Step  464: Loss = 0.1807, Phase1 = 5.8579, Phase3 = 0.0000, Weight = 1.0000
  Step  465: Loss = 0.1806, Phase1 = 5.8578, Phase3 = 0.0000, Weight = 1.0000
  Step  466: Loss = 0.1806, Phase1 = 5.8578, Phase3 = 0.0000, Weight = 1.0000
  Step  467: Loss = 0.1806, Phase1 = 5.8577, Phase3 = 0.0000, Weight = 1.0000
  Step  468: Loss = 0.1806, Phase1 = 5.8577, Phase3 = 0.0000, Weight = 1.0000
  Step  469: Loss = 0.1806, Phase1 = 5.8576, Phase3 = 0.0000, Weight = 1.0000
  Step  470: Loss = 0.1806, Phase1 = 5.8576, Phase3 = 0.0000, Weight = 1.0000
  Step  471: Loss = 0.1806, Phase1 = 5.8575, Phase3 = 0.0000, Weight = 1.0000
  Step  472: Loss = 0.1806, Phase1 = 5.8575, Phase3 = 0.0000, Weight = 1.0000
  Step  473: Loss = 0.1806, Phase1 = 5.8574, Phase3 = 0.0000, Weight = 1.0000
  Step  474: Loss = 0.1806, Phase1 = 5.8574, Phase3 = 0.0000, Weight = 1.0000
  Step  475: Loss = 0.1806, Phase1 = 5.8574, Phase3 = 0.0000, Weight = 1.0000
  Step  476: Loss = 0.1806, Phase1 = 5.8573, Phase3 = 0.0000, Weight = 1.0000
  Step  477: Loss = 0.1806, Phase1 = 5.8573, Phase3 = 0.0000, Weight = 1.0000
  Step  478: Loss = 0.1806, Phase1 = 5.8572, Phase3 = 0.0000, Weight = 1.0000
  Step  479: Loss = 0.1806, Phase1 = 5.8572, Phase3 = 0.0000, Weight = 1.0000
  Step  480: Loss = 0.1806, Phase1 = 5.8572, Phase3 = 0.0000, Weight = 1.0000
  Step  481: Loss = 0.1806, Phase1 = 5.8572, Phase3 = 0.0000, Weight = 1.0000
  Step  482: Loss = 0.1806, Phase1 = 5.8571, Phase3 = 0.0000, Weight = 1.0000
  Step  483: Loss = 0.1806, Phase1 = 5.8571, Phase3 = 0.0000, Weight = 1.0000
  Step  484: Loss = 0.1806, Phase1 = 5.8571, Phase3 = 0.0000, Weight = 1.0000
  Step  485: Loss = 0.1806, Phase1 = 5.8570, Phase3 = 0.0000, Weight = 1.0000
  Step  486: Loss = 0.1806, Phase1 = 5.8570, Phase3 = 0.0000, Weight = 1.0000
  Step  487: Loss = 0.1806, Phase1 = 5.8570, Phase3 = 0.0000, Weight = 1.0000
  Step  488: Loss = 0.1806, Phase1 = 5.8570, Phase3 = 0.0000, Weight = 1.0000
  Step  489: Loss = 0.1806, Phase1 = 5.8570, Phase3 = 0.0000, Weight = 1.0000
  Step  490: Loss = 0.1806, Phase1 = 5.8569, Phase3 = 0.0000, Weight = 1.0000
  Step  491: Loss = 0.1806, Phase1 = 5.8569, Phase3 = 0.0000, Weight = 1.0000
  Step  492: Loss = 0.1806, Phase1 = 5.8569, Phase3 = 0.0000, Weight = 1.0000
  Step  493: Loss = 0.1806, Phase1 = 5.8569, Phase3 = 0.0000, Weight = 1.0000
  Step  494: Loss = 0.1806, Phase1 = 5.8569, Phase3 = 0.0000, Weight = 1.0000
  Step  495: Loss = 0.1806, Phase1 = 5.8568, Phase3 = 0.0000, Weight = 1.0000
  Step  496: Loss = 0.1806, Phase1 = 5.8568, Phase3 = 0.0000, Weight = 1.0000
  Step  497: Loss = 0.1806, Phase1 = 5.8568, Phase3 = 0.0000, Weight = 1.0000
  Step  498: Loss = 0.1806, Phase1 = 5.8568, Phase3 = 0.0000, Weight = 1.0000
  Step  499: Loss = 0.1806, Phase1 = 5.8568, Phase3 = 0.0000, Weight = 1.0000

Final Parameters:
  Phase1: 5.8568
  Phase3: 0.0000
  Memristor Weight: 1.0000

Training Summary:
  Initial Loss: 40.7420
  Final Loss: 0.1806

--------------------
Prediction Log
--------------------

Prediction Parameters:
  Memory Depth: 6
  Phase1: 5.8568
  Phase3: 0.0000
  Memristor Weight: 1.0000
  Stochastic: False

Prediction Progress:

  Sample 1/1:

Prediction Summary:
  Number of test samples: 500
  Mean prediction: 0.2109
  Mean absolute error: 0.0259

Metrics:
  accuracy:
    mae: 0.025943393564262684
    rmse: 0.033228252244273934
    mdae: 0.024123088137024455
    marpd: 58.37191368790875
    r2: 0.9845902791135451
    corr: 0.9955456082677321

================================================================================
Hyperparameter Optimization Results
Date: 2024-12-03 15:28:45
================================================================================

Hyperparameter Ranges:
Steps Range: [500]
Learning Rate Range: [0.01]
Memory Depth Range: [6]
Cutoff Dimension Range: [5]

========================================
Best Parameters
========================================

Hyperparameters:
  steps: 500
  learning_rate: 0.010000
  memory_depth: 6
  cutoff_dim: 5
  best_rmse: 0.033228

Metrics:
  accuracy:
    mae: 0.025943393564262684
    rmse: 0.033228252244273934
    mdae: 0.024123088137024455
    marpd: 58.37191368790875
    r2: 0.9845902791135451
    corr: 0.9955456082677321

Parameters:
  phase 1: 5.8568
  phase 3: 0.0000
  memristor weight: 1.0000

